YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,WN,4126,N750SA,SAT,PHX,1340,1403,23,14,1417,150,151,125,843,1522,12,1510,1534,24,0,0,,1,0,2,21,0
2015,1,1,4,WN,1812,N687SW,SFO,SAN,1340,1432,52,9,1441,95,79,67,447,1548,3,1515,1551,36,0,0,,0,0,35,1,0
2015,1,1,4,WN,2400,N255WN,HOU,MDW,1340,1411,31,8,1419,145,130,116,937,1615,6,1605,1621,16,0,0,,0,0,16,0,0
2015,1,1,4,AA,1304,N479AA,DFW,DAY,1340,1435,55,14,1449,125,117,98,861,1727,5,1645,1732,47,0,0,,0,0,47,0,0
2015,1,1,4,AA,2441,N573AA,DFW,RIC,1340,1404,24,18,1422,155,152,126,1158,1728,8,1715,1736,21,0,0,,0,0,19,2,0
2015,1,1,4,HA,365,N485HA,OGG,HNL,1340,1344,4,21,1405,37,63,25,100,1430,17,1417,1447,30,0,0,,0,0,26,4,0
2015,1,1,4,NK,165,N630NK,DFW,ATL,1340,1404,24,11,1415,119,116,91,731,1646,14,1639,1700,21,0,0,,21,0,0,0,0
2015,1,1,4,NK,630,N601NK,DEN,ORD,1341,1355,14,15,1410,149,156,113,888,1703,28,1710,1731,21,0,0,,21,0,0,0,0
2015,1,1,4,B6,2070,N715JB,FLL,BOS,1342,1402,20,16,1418,188,186,164,1237,1702,6,1650,1708,18,0,0,,0,0,7,11,0
2015,1,1,4,OO,7368,N455SW,APN,DTW,1343,1420,37,8,1428,67,53,33,198,1501,12,1450,1513,23,0,0,,0,0,0,23,0
2015,1,1,4,WN,2123,N8644C,DEN,AUS,1345,1344,-1,20,1404,125,144,118,775,1702,6,1650,1708,18,0,0,,18,0,0,0,0
2015,1,1,4,WN,2041,N8317M,DEN,SLC,1345,1434,49,17,1451,85,74,53,391,1544,4,1510,1548,38,0,0,,0,0,12,26,0
2015,1,1,4,WN,1841,N227WN,EWR,PHX,1345,1355,10,15,1410,340,370,347,2133,1757,8,1725,1805,40,0,0,,30,0,10,0,0
2015,1,1,4,WN,1032,N915WN,LAS,MKE,1345,1409,24,13,1422,205,199,180,1524,1922,6,1910,1928,18,0,0,,0,0,18,0,0
2015,1,1,4,WN,889,N394SW,LAX,PHX,1345,1429,44,15,1444,75,78,57,370,1641,6,1600,1647,47,0,0,,3,0,33,11,0
2015,1,1,4,WN,2858,N787SA,MDW,DEN,1345,1407,22,10,1417,160,160,141,895,1538,9,1525,1547,22,0,0,,0,0,0,22,0
2015,1,1,4,WN,4815,N711HK,OAK,HOU,1345,1357,12,8,1405,220,230,216,1642,1941,6,1925,1947,22,0,0,,10,0,12,0,0
2015,1,1,4,WN,789,N487WN,ATL,DCA,1345,1405,20,23,1428,100,103,76,547,1544,4,1525,1548,23,0,0,,3,0,20,0,0
2015,1,1,4,AA,1263,N3LTAA,ORD,MIA,1345,1614,149,12,1626,185,186,151,1197,1957,23,1750,2020,150,0,0,,1,0,11,138,0
